Tray,Date,FlyID,Strain,Sex,Age,FilePath,Ignore,Notes,Ntrials,rBias,BatchID,uniquetrayID
1,13-Feb-2021,1,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,9,0.5,0,1
1,13-Feb-2021,2,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,80,0.481012658227848,0,1
1,13-Feb-2021,3,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,200,0.462311557788945,0,1
1,13-Feb-2021,4,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,603,0.42358803986711,0,1
1,13-Feb-2021,5,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,266,0.509433962264151,0,1
1,13-Feb-2021,6,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,190,0.534391534391534,0,1
1,13-Feb-2021,7,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,461,0.547826086956522,0,1
1,13-Feb-2021,8,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,742,0.585695006747638,0,1
1,13-Feb-2021,9,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,332,0.510574018126888,0,1
1,13-Feb-2021,10,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,164,0.539877300613497,0,1
1,13-Feb-2021,11,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,195,0.458762886597938,0,1
1,13-Feb-2021,12,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,96,0.547368421052632,0,1
1,13-Feb-2021,13,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,232,0.506493506493506,0,1
1,13-Feb-2021,14,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,229,0.460526315789474,0,1
1,13-Feb-2021,15,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,757,0.521164021164021,0,1
1,13-Feb-2021,16,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,503,0.525896414342629,0,1
1,13-Feb-2021,17,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,953,0.493697478991597,0,1
1,13-Feb-2021,18,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,577,0.416666666666667,0,1
1,13-Feb-2021,19,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,586,0.488888888888889,0,1
1,13-Feb-2021,20,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,600,0.477462437395659,0,1
1,13-Feb-2021,21,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,945,0.49364406779661,0,1
1,13-Feb-2021,22,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,703,0.517094017094017,0,1
1,13-Feb-2021,23,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,592,0.467005076142132,0,1
1,13-Feb-2021,24,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,568,0.585537918871252,0,1
1,13-Feb-2021,25,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,440,0.380410022779043,0,1
1,13-Feb-2021,26,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,389,0.533505154639175,0,1
1,13-Feb-2021,27,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,233,0.422413793103448,0,1
1,13-Feb-2021,28,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,435,0.52073732718894,0,1
1,13-Feb-2021,29,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,761,0.468421052631579,0,1
1,13-Feb-2021,30,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,555,0.561371841155235,0,1
1,13-Feb-2021,31,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,639,0.454545454545455,0,1
1,13-Feb-2021,32,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,529,0.518939393939394,0,1
1,13-Feb-2021,33,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,286,0.536842105263158,0,1
1,13-Feb-2021,34,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,476,0.564210526315789,0,1
1,13-Feb-2021,35,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,1109,0.63898916967509,0,1
1,13-Feb-2021,36,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,992,0.229061553985873,0,1
1,13-Feb-2021,37,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,872,0.599311136624569,0,1
1,13-Feb-2021,38,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,1072,0.511671335200747,0,1
1,13-Feb-2021,39,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,982,0.624872579001019,0,1
1,13-Feb-2021,40,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,535,0.50749063670412,0,1
1,13-Feb-2021,41,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,1151,0.52,0,1
1,13-Feb-2021,42,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,843,0.509501187648456,0,1
1,13-Feb-2021,43,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,683,0.50733137829912,0,1
1,13-Feb-2021,44,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,688,0.65938864628821,0,1
1,13-Feb-2021,45,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,420,0.525059665871122,0,1
1,13-Feb-2021,46,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,569,0.676056338028169,0,1
1,13-Feb-2021,47,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,611,0.452459016393443,0,1
1,13-Feb-2021,48,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,966,0.477720207253886,0,1
1,13-Feb-2021,49,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,960,0.812304483837331,0,1
1,13-Feb-2021,50,45,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,668,0.493253373313343,0,1
1,13-Feb-2021,51,45,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,777,0.537371134020619,0,1
1,13-Feb-2021,52,45,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,1,,450,0.541202672605791,0,1
