BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,2,1,208,0,128,0.551181102362205,119,0.728813559322034,1031,0.647572815533981,33,0.375,186,0.508108108108108,900,0.421579532814238,806,0.490683229813665,242,0.402489626556017
2,2,2,208,0,787,0.487277353689567,50,0.755102040816326,1241,0.468548387096774,69,0.602941176470588,884,0.485843714609287,740,0.581867388362652,663,0.54380664652568,19,0.5
2,2,3,208,0,3,0,9,0.5,590,0.509337860780985,249,0.633064516129032,26,0.36,382,0.288713910761155,171,0.558823529411765,257,0.27734375
2,2,4,208,0,0,NaN,47,0.58695652173913,771,0.512987012987013,0,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,2,5,208,0,12,0.909090909090909,49,0.583333333333333,719,0.647632311977716,689,0.568313953488372,202,0.671641791044776,535,0.550561797752809,706,0.547517730496454,74,0.547945205479452
2,2,6,208,0,1359,0.590574374079529,3,0.5,1059,0.517958412098299,795,0.502518891687657,679,0.511799410029499,344,0.256559766763848,726,0.864827586206897,108,0.280373831775701
2,2,7,208,0,1171,0.6,10,0.444444444444444,927,0.56695464362851,773,0.612694300518135,583,0.475945017182131,3,0.5,-1,NaN,-1,NaN
2,2,8,208,0,996,0.492462311557789,247,0.58130081300813,786,0.535031847133758,106,0.495238095238095,37,0.361111111111111,179,0.426966292134831,984,0.495422177009156,-1,NaN
2,2,9,208,0,849,0.672169811320755,591,0.705084745762712,1004,0.630109670987039,259,0.449612403100775,644,0.598755832037325,3,0.5,-1,NaN,-1,NaN
2,2,10,208,0,3,0.5,12,0.454545454545455,304,0.541254125412541,803,0.516209476309227,551,0.469090909090909,17,0.25,683,0.536656891495601,13,0.5
2,2,11,208,0,443,0.529411764705882,2,0,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
2,2,12,208,0,652,0.391705069124424,91,0.544444444444444,647,0.605263157894737,385,0.5078125,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,2,13,208,0,55,0.425925925925926,15,0.571428571428571,74,0.438356164383562,24,0.434782608695652,24,0.304347826086957,96,0.452631578947368,99,0.561224489795918,20,0.421052631578947
2,2,14,208,0,696,0.705035971223022,369,0.690217391304348,859,0.67016317016317,44,0.674418604651163,216,0.618604651162791,403,0.661691542288557,506,0.718811881188119,248,0.773279352226721
2,2,15,208,0,247,0.394308943089431,77,0.539473684210526,326,0.449230769230769,121,0.525,19,0.611111111111111,322,0.632398753894081,149,0.493243243243243,-1,NaN
2,2,16,208,0,799,0.344611528822055,403,0.487562189054726,930,0.470398277717976,271,0.596296296296296,41,0.625,11,0.5,-1,NaN,-1,NaN
2,2,17,208,0,11,0.6,23,0.5,835,0.568345323741007,298,0.356902356902357,85,0.55952380952381,967,0.563146997929607,470,0.507462686567164,621,0.52741935483871
2,2,18,208,0,1272,0.35405192761605,1021,0.454901960784314,966,0.361658031088083,701,0.472857142857143,1040,0.554379210779596,885,0.480769230769231,-1,NaN,-1,NaN
