BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
1,2,1,0,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,2,0,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,3,0,0,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,2,4,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,2,5,0,0,-1,NaN,-1,NaN,0,NaN,6,0.6,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
1,2,6,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,7,0,0,-1,NaN,-1,NaN,0,NaN,8,0.571428571428571,-1,NaN,-1,NaN,0,NaN,2,1,-1,NaN
1,2,8,0,0,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN
1,2,9,0,0,-1,NaN,0,NaN,0,NaN,34,0.484848484848485,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,10,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,11,0,0,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,0,NaN,-1,NaN
1,2,12,0,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,1,NaN,-1,NaN
1,2,13,796,0,14,0.461538461538462,2,1,38,0.621621621621622,480,0.647181628392484,486,0.575257731958763,234,0.55793991416309,354,0.58356940509915,33,0.4375,307,0.777777777777778
1,2,14,796,0,129,0.3828125,160,0.616352201257862,0,NaN,15,0.5,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,15,796,0,11,0.6,1,NaN,36,0.428571428571429,255,0.519685039370079,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
1,2,16,796,0,86,0.482352941176471,5,0.25,35,0.617647058823529,1114,0.461814914645103,1262,0.501982553528945,817,0.519607843137255,702,0.36376604850214,37,0.305555555555556,696,0.355395683453237
1,2,17,796,0,62,0.770491803278688,55,0.462962962962963,1,NaN,16,0.466666666666667,-1,NaN,-1,NaN,0,NaN,-1,NaN,0,NaN
1,2,18,796,0,311,0.438709677419355,1,NaN,26,0.56,625,0.522435897435897,322,0.246105919003115,154,0.189542483660131,598,0.271356783919598,34,0.606060606060606,417,0.461538461538462
1,2,19,796,0,22,0.238095238095238,1,NaN,6,0.6,280,0.304659498207885,-1,NaN,-1,NaN,-1,NaN,2,1,-1,NaN
1,2,20,796,0,61,0.55,75,0.702702702702703,23,0.590909090909091,115,0.552631578947368,-1,NaN,-1,NaN,0,NaN,5,0.25,-1,NaN
1,2,21,796,0,374,0.241286863270777,57,0.392857142857143,14,0.384615384615385,240,0.364016736401674,335,0.0748502994011976,198,0.512690355329949,296,0.169491525423729,30,0.551724137931034,159,0.411392405063291
