,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
111,1,16,5/5,2,TrH,-1,
112,1,17,5/5,2,TrH,17,0.75
113,1,18,5/5,2,TrH,25,0.3333333333
114,1,19,5/5,2,TrH,342,0.5601173021
115,1,20,5/5,2,TrH,231,0.7217391304
116,1,21,5/5,2,TrH,-1,
117,1,22,5/5,2,TrH,36,0.028571428569999998
118,1,23,5/5,2,TrH,130,0.42635658909999996
119,1,24,5/5,2,TrH,208,0.5652173913
120,1,25,5/5,2,TrH,-1,
121,1,26,5/5,2,TrH,148,0.5578231293
122,1,27,5/5,2,TrH,394,0.6081424936
123,1,28,5/5,2,TrH,633,0.5601265823
124,1,29,5/5,2,TrH,63,0.3709677419
125,1,30,5/5,2,TrH,251,0.43200000000000005
126,1,31,5/5,2,TrH,498,0.2293762575
127,1,32,5/5,2,TrH,659,0.38297872340000005
128,1,33,5/5,2,TrH,320,0.8275862069
129,1,34,5/5,2,TrH,173,0.523255814
130,1,35,5/5,2,TrH,329,0.387195122
131,1,36,5/5,2,TrH,143,0.2394366197
132,1,37,5/5,2,TrH,234,0.4506437768
133,1,38,5/5,2,TrH,199,0.8181818181999999
134,1,39,5/5,2,TrH,156,0.48387096770000004
135,1,40,5/5,2,TrH,289,0.4201388889
136,1,41,5/5,2,TrH,262,0.2796934866
137,1,42,5/5,2,TrH,39,0.6315789474
138,1,43,5/5,2,TrH,152,0.2715231788
139,1,44,5/5,2,TrH,0,
140,1,45,5/5,2,TrH,588,0.3526405451
141,1,46,5/5,2,TrH,228,0.6123348018
142,1,47,5/5,2,TrH,322,0.5919003115
143,1,48,5/5,2,TrH,17,0.5625
144,1,49,5/5,2,TrH,152,0.5761589404
145,1,50,5/5,2,TrH,140,0.35251798560000003
146,1,51,5/5,2,TrH,90,0.393258427
147,1,52,5/5,2,TrH,467,0.4892703863
148,1,53,5/5,2,TrH,293,0.5684931507
149,1,54,5/5,2,TrH,67,0.5757575758
150,1,55,5/5,2,TrH,778,0.6537966538000001
151,1,56,5/5,2,TrH,-1,
152,1,57,5/5,2,TrH,316,0.3111111111
153,1,58,5/5,2,TrH,188,0.5080213903999999
154,1,59,5/5,2,TrH,407,0.6822660099
155,1,60,5/5,2,TrH,361,0.5333333333
156,1,61,5/5,2,TrH,339,0.5562130178
157,1,62,5/5,2,TrH,70,0.4202898551
158,1,63,5/5,2,TrH,225,0.5044642857
159,1,64,5/5,2,TrH,120,0.243697479
160,1,65,5/5,2,TrH,44,0.48837209299999995
161,1,66,5/5,2,TrH,85,0.6547619048
162,1,67,5/5,2,TrH,562,0.4919786096
163,1,68,5/5,2,TrH,342,0.41642228740000004
164,1,69,5/5,2,TrH,70,0.3913043478
165,1,70,5/5,2,TrH,158,0.4076433121
166,1,71,5/5,2,TrH,522,0.5124760077
167,1,72,5/5,2,TrH,72,0.676056338
168,1,73,5/5,2,TrH,109,0.3611111111
169,1,74,5/5,2,TrH,175,0.316091954
170,1,75,5/5,2,TrH,11,0.3
171,1,76,5/5,2,TrH,5,0.75
172,1,77,5/5,2,TrH,188,0.5561497326
173,1,78,5/5,2,TrH,-1,
174,1,79,5/5,2,TrH,111,0.4636363636
175,1,80,5/5,2,TrH,175,0.37356321840000006
176,1,81,5/5,2,TrH,407,0.5862068965999999
177,1,82,5/5,2,TrH,-1,
178,1,83,5/5,2,TrH,582,0.4733218589
179,1,84,5/5,2,TrH,104,0.4368932039
180,1,85,5/5,2,TrH,585,0.6780821918000001
181,1,86,5/5,2,TrH,200,0.2864321608
182,1,87,5/5,2,TrH,105,0.4230769231
183,1,88,5/5,2,TrH,7,0.3333333333
184,1,89,5/5,2,TrH,-1,
185,1,90,5/5,2,TrH,106,0.2285714286
186,1,91,5/5,2,TrH,-1,
187,1,92,5/5,2,TrH,-1,
188,1,93,5/5,2,TrH,345,0.511627907
189,1,94,5/5,2,TrH,25,0.5833333333
190,1,95,5/5,2,TrH,-1,
